case,trials,win_rate,ci95_low,ci95_high,mean_turns,p50_turns,p95_turns,capped,coins_per_attempt,exp_per_attempt
equal-rikasheef-slime,200,1,0.9811539940816791,1,3.34,3,4,0,12.39,80
equal-rikasheef-grassbeat,200,0.98,0.9497121344948062,0.9921956998236058,6.11,5,9,0,12.145,45.055
equal-rikasheef-slime_gold,200,1,0.9811539940816791,1,12.77,13,14,0,200,47.115
equal-seralphia-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-seralphia-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-seralphia-slime_gold,200,1,0.9811539940816791,1,7.14,7,8,0,200,46.65
equal-nightmare-slime,200,1,0.9811539940816791,1,3.03,3,3,0,12.44,80
equal-nightmare-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.865,4,7,0,12.54,46.81
equal-nightmare-slime_gold,200,1,0.9811539940816791,1,10.59,10,12,0,200,47.52
equal-volteck-slime,200,1,0.9811539940816791,1,2.825,3,3,0,12.305,80
equal-volteck-grassbeat,200,0.985,0.9568335194437211,0.9948858548155076,4.865,4,7,0,12.505,46.59
equal-volteck-slime_gold,200,1,0.9811539940816791,1,10.205,10,12,0,200,48.515
equal-spaquinn-slime,200,1,0.9811539940816791,1,3.06,3,4,0,12.39,80
equal-spaquinn-grassbeat,200,0.985,0.9568335194437211,0.9948858548155076,5.215,5,8,0,12.48,45.88
equal-spaquinn-slime_gold,200,1,0.9811539940816791,1,11.05,11,12,0,200,47.38
equal-voltax-slime,200,1,0.9811539940816791,1,2.155,2,3,0,12.44,80
equal-voltax-grassbeat,200,1,0.9811539940816791,1,3.52,3,5,0,12.365,46.99
equal-voltax-slime_gold,200,1,0.9811539940816791,1,7.805,8,9,0,200,46.29
equal-icegolem-slime,200,1,0.9811539940816791,1,3.235,3,4,0,12.31,80
equal-icegolem-grassbeat,200,0.975,0.9428208558483829,0.9892754385292123,5.655,5,9,0,12.135,45.185
equal-icegolem-slime_gold,200,1,0.9811539940816791,1,11.665,12,13,0,200,46.72
equal-proto_icegolem-slime,200,1,0.9811539940816791,1,2.06,2,3,0,12.555,80
equal-proto_icegolem-grassbeat,200,1,0.9811539940816791,1,3.84,3,7,0,12.44,47.45
equal-proto_icegolem-slime_gold,200,1,0.9811539940816791,1,7.145,7,8,0,200,46.27
equal-nemes-slime,200,1,0.9811539940816791,1,3.03,3,3,0,12.44,80
equal-nemes-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.87,4,7,0,12.54,46.81
equal-nemes-slime_gold,200,1,0.9811539940816791,1,10.735,11,12,0,200,47.105
equal-nemesia-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-nemesia-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-nemesia-slime_gold,200,1,0.9811539940816791,1,7.14,7,8,0,200,46.65
equal-nemesion-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-nemesion-grassbeat,200,1,0.9811539940816791,1,2.75,2,5,0,12.635,47.11
equal-nemesion-slime_gold,200,1,0.9811539940816791,1,5.945,6,7,0,200,46.725
equal-doom_nemesion-slime,200,1,0.9811539940816791,1,1.33,1,2,0,12.365,80
equal-doom_nemesion-grassbeat,200,1,0.9811539940816791,1,2.22,2,4,0,12.645,46.745
equal-doom_nemesion-slime_gold,200,1,0.9811539940816791,1,4.975,5,6,0,200,46.76
equal-elna_beginner-slime,200,1,0.9811539940816791,1,3.49,3,4,0,12.425,80
equal-elna_beginner-grassbeat,200,0.98,0.9497121344948062,0.9921956998236058,6.3,6,9,0,12.115,45.045
equal-elna_beginner-slime_gold,200,1,0.9811539940816791,1,13.405,13,15,0,200,47.435
equal-elna_middle-slime,200,1,0.9811539940816791,1,2.32,2,3,0,12.455,80
equal-elna_middle-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.665,4,6,0,12.365,46.5
equal-elna_middle-slime_gold,200,1,0.9811539940816791,1,9.625,10,11,0,200,46.89
equal-elna_advanced-slime,200,1,0.9811539940816791,1,2.055,2,3,0,12.225,80
equal-elna_advanced-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-elna_advanced-slime_gold,200,1,0.9811539940816791,1,7.595,8,9,0,200,46.545
equal-suiren-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-suiren-grassbeat,200,0.99,0.9642775148038205,0.9972533993962251,4.37,4,6,0,12.165,46.655
equal-suiren-slime_gold,200,1,0.9811539940816791,1,9.3,9,11,0,200,46.58
equal-slime-slime,200,1,0.9811539940816791,1,7.01,7,8,0,12.3,80
equal-slime-grassbeat,200,0.035,0.017055324637357105,0.07047146086668134,9.815,10,14,0,0.39,1.745
equal-slime-slime_gold,200,0.115,0.07786317221824318,0.16664825233886393,25.135,25,30,0,23,5.315
equal-slime_gold-slime,200,1,0.9811539940816791,1,7.015,7,8,0,12.25,80
equal-slime_gold-grassbeat,200,0.07,0.04215178292291873,0.11405578216683726,9.8,10,14,0,0.825,3.25
equal-slime_gold-slime_gold,200,0.335,0.2732398096874265,0.4029793722656195,25.765,26,30,0,67,15.785
equal-goblin-slime,200,1,0.9811539940816791,1,3.86,4,5,0,12.51,80
equal-goblin-grassbeat,200,0.92,0.8740095102048769,0.9501598448237337,6.06,5,9,0,11.335,42.985
equal-goblin-slime_gold,200,1,0.9811539940816791,1,8.07,8,10,0,200,47.53
equal-false_dragon_alfa-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-false_dragon_alfa-grassbeat,200,1,0.9811539940816791,1,2.26,2,4,0,12.66,46.69
equal-false_dragon_alfa-slime_gold,200,1,0.9811539940816791,1,5.775,6,7,0,200,46.515
equal-false_dragon_beta-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-false_dragon_beta-grassbeat,200,1,0.9811539940816791,1,2.22,2,4,0,12.645,46.745
equal-false_dragon_beta-slime_gold,200,1,0.9811539940816791,1,5.46,5,6,0,200,47.525
equal-false_dragon_gamma-slime,200,1,0.9811539940816791,1,1.33,1,2,0,12.365,80
equal-false_dragon_gamma-grassbeat,200,1,0.9811539940816791,1,2.22,2,4,0,12.645,46.745
equal-false_dragon_gamma-slime_gold,200,1,0.9811539940816791,1,4.98,5,6,0,200,47.75
equal-volmoog-slime,200,1,0.9811539940816791,1,2.29,2,3,0,12.52,80
equal-volmoog-grassbeat,200,1,0.9811539940816791,1,3.76,3,6,0,12.33,46.91
equal-volmoog-slime_gold,200,1,0.9811539940816791,1,8.665,9,10,0,200,47.705
equal-gran_volmoog-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
equal-gran_volmoog-grassbeat,200,1,0.9811539940816791,1,3.4,3,5,0,12.6,46.8
equal-gran_volmoog-slime_gold,200,1,0.9811539940816791,1,6.485,6,7,0,200,46.48
equal-stella_apprentice-slime,200,1,0.9811539940816791,1,3.895,4,5,0,12.21,80
equal-stella_apprentice-grassbeat,200,0.945,0.9042120755340645,0.9690149791986299,6.995,6,10,0,11.755,43.855
equal-stella_apprentice-slime_gold,200,1,0.9811539940816791,1,14.785,15,16,0,200,46.39
equal-stella_wizard-slime,200,1,0.9811539940816791,1,2.055,2,3,0,12.225,80
equal-stella_wizard-grassbeat,200,1,0.9811539940816791,1,3.46,3,5,0,12.51,46.925
equal-stella_wizard-slime_gold,200,1,0.9811539940816791,1,7.595,8,9,0,200,46.545
equal-stella_sorcerer-slime,200,1,0.9811539940816791,1,2,2,2,0,12.21,80
